symbol;timeframe;open_time;open_price;high_price;low_price;close_price;volume;close_time;EMA;
BTCUSDT;1h;2017-11-19 05:00:00+00:00;777998000000;778998000000;771201000000;775004000000;14587656700;2017-11-19 05:59:59.999000+00:00;7758453082474890,000000000000000;
BTCUSDT;1h;2017-11-19 06:00:00+00:00;773017000000;777000000000;770171000000;771306000000;15324414600;2017-11-19 06:59:59.999000+00:00;7751469531324910,000000000000000;
BTCUSDT;1h;2017-11-19 07:00:00+00:00;771307000000;772395000000;765033000000;769001000000;13291684700;2017-11-19 07:59:59.999000+00:00;7742014218813380,000000000000000;
BTCUSDT;1h;2017-11-19 08:00:00+00:00;769006000000;771629000000;767562000000;770999000000;18581511000;2017-11-19 08:59:59.999000+00:00;7737087415919020,000000000000000;
BTCUSDT;1h;2017-11-19 09:00:00+00:00;770997000000;776799000000;770202000000;775966000000;16890857700;2017-11-19 09:59:59.999000+00:00;7740560121162240,000000000000000;
BTCUSDT;1h;2017-11-19 10:00:00+00:00;775967000000;777000000000;774458000000;776997000000;15901255200;2017-11-19 10:59:59.999000+00:00;7745084717906510,000000000000000;
BTCUSDT;1h;2017-11-19 11:00:00+00:00;776303000000;778924000000;773549000000;775383000000;16092613000;2017-11-19 11:59:59.999000+00:00;77464301459209,000000000000000;
BTCUSDT;1h;2017-11-19 12:00:00+00:00;773549000000;777890000000;770300000000;770503000000;14629339800;2017-11-19 12:59:59.999000+00:00;77400608927023,000000000000000;
BTCUSDT;1h;2017-11-19 13:00:00+00:00;770503000000;777890000000;770000000000;777880000000;15932211900;2017-11-19 13:59:59.999000+00:00;77460207553634800,000000000000000;
BTCUSDT;1h;2017-11-19 14:00:00+00:00;777880000000;778000000000;775000000000;777990000000;15249174300;2017-11-19 14:59:59.999000+00:00;7751232946846020,000000000000000;
BTCUSDT;1h;2017-11-19 15:00:00+00:00;777991000000;778000000000;770000000000;775002000000;12504968900;2017-11-19 15:59:59.999000+00:00;7751046339638940,000000000000000;
BTCUSDT;1h;2017-11-19 16:00:00+00:00;775006000000;780908000000;773717000000;779000000000;14261889400;2017-11-19 16:59:59.999000+00:00;7757039210463720,000000000000000;
BTCUSDT;1h;2017-11-19 17:00:00+00:00;778999000000;795501000000;777019000000;794400000000;18047669200;2017-11-19 17:59:59.999000+00:00;7785802408853910,000000000000000;
BTCUSDT;1h;2017-11-19 18:00:00+00:00;794400000000;804423000000;792301000000;801198000000;19055756200;2017-11-19 18:59:59.999000+00:00;78205989613379300,000000000000000;
BTCUSDT;1h;2017-11-19 19:00:00+00:00;801197000000;803797000000;795100000000;802498000000;15132837200;2017-11-19 19:59:59.999000+00:00;7852042198055170,000000000000000;
BTCUSDT;1h;2017-11-19 20:00:00+00:00;802498000000;812315000000;800436000000;806227000000;32468313600;2017-11-19 20:59:59.999000+00:00;7884384936815910,000000000000000;
BTCUSDT;1h;2017-11-19 21:00:00+00:00;805600000000;809849000000;801500000000;801500000000;18811186600;2017-11-19 21:59:59.999000+00:00;7904479561921150,000000000000000;
BTCUSDT;1h;2017-11-19 22:00:00+00:00;801500000000;803250000000;793801000000;799898000000;17712574200;2017-11-19 22:59:59.999000+00:00;7919018090856360,000000000000000;
BTCUSDT;1h;2017-11-19 23:00:00+00:00;799897000000;808498000000;797513000000;803800000000;12895217800;2017-11-19 23:59:59.999000+00:00;7937322999955380,000000000000000;
BTCUSDT;1h;2017-11-20 00:00:00+00:00;805711000000;808349000000;803553000000;804753000000;13177416300;2017-11-20 00:59:59.999000+00:00;7954277923039170,000000000000000;
BTCUSDT;1h;2017-11-20 01:00:00+00:00;805498000000;807688000000;801200000000;802503000000;10229787800;2017-11-20 01:59:59.999000+00:00;7965162857956220,000000000000000;
BTCUSDT;1h;2017-11-20 02:00:00+00:00;803000000000;804946000000;799200000000;800000000000;17985618100;2017-11-20 02:59:59.999000+00:00;79705224182706500,000000000000000;
BTCUSDT;1h;2017-11-20 03:00:00+00:00;799997000000;802216000000;796200000000;797255000000;18849528200;2017-11-20 03:59:59.999000+00:00;7970834353921320,000000000000000;
BTCUSDT;1h;2017-11-20 04:00:00+00:00;797107000000;805000000000;797107000000;802897000000;12596325300;2017-11-20 04:59:59.999000+00:00;7979778299471880,000000000000000;
BTCUSDT;1h;2017-11-20 05:00:00+00:00;802898000000;803496000000;795400000000;799711000000;20918170500;2017-11-20 05:59:59.999000+00:00;798244471493775,000000000000000;
BTCUSDT;1h;2017-11-20 06:00:00+00:00;799797000000;803200000000;796349000000;800959000000;17298671800;2017-11-20 06:59:59.999000+00:00;7986620912639630,000000000000000;
BTCUSDT;1h;2017-11-20 07:00:00+00:00;800998000000;803997000000;799900000000;801401000000;13690735500;2017-11-20 07:59:59.999000+00:00;7990834618387380,000000000000000;
BTCUSDT;1h;2017-11-20 08:00:00+00:00;801402000000;806114000000;801401000000;805898000000;19843985200;2017-11-20 08:59:59.999000+00:00;8001318523250860,000000000000000;
BTCUSDT;1h;2017-11-20 09:00:00+00:00;805003000000;807688000000;801607000000;802107000000;15015998300;2017-11-20 09:59:59.999000+00:00;80043572119815,000000000000000;
BTCUSDT;1h;2017-11-20 10:00:00+00:00;802107000000;805101000000;802107000000;804497000000;16892870600;2017-11-20 10:59:59.999000+00:00;8010605333215110,000000000000000;
BTCUSDT;1h;2017-11-20 11:00:00+00:00;804000000000;807688000000;803300000000;805701000000;16781230900;2017-11-20 11:59:59.999000+00:00;8017744512720480,000000000000000;
BTCUSDT;1h;2017-11-20 12:00:00+00:00;806698000000;816015000000;805753000000;813998000000;17540239400;2017-11-20 12:59:59.999000+00:00;8036549972301940,000000000000000;
BTCUSDT;1h;2017-11-20 13:00:00+00:00;813671000000;820000000000;812558000000;813801000000;13911286200;2017-11-20 13:59:59.999000+00:00;80521592073324100,000000000000000;
BTCUSDT;1h;2017-11-20 14:00:00+00:00;813802000000;823998000000;813802000000;823795000000;20491060700;2017-11-20 14:59:59.999000+00:00;8080742406204350,000000000000000;
BTCUSDT;1h;2017-11-20 15:00:00+00:00;823004000000;823798000000;818000000000;821731000000;14605296400;2017-11-20 15:59:59.999000+00:00;8101752805249830,000000000000000;
BTCUSDT;1h;2017-11-20 16:00:00+00:00;821798000000;824804000000;819030000000;824804000000;23770423100;2017-11-20 16:59:59.999000+00:00;8124258527519090,000000000000000;
BTCUSDT;1h;2017-11-20 17:00:00+00:00;824440000000;829000000000;824440000000;826308000000;21557677600;2017-11-20 17:59:59.999000+00:00;8145615677131530,000000000000000;
BTCUSDT;1h;2017-11-20 18:00:00+00:00;824444000000;827990000000;818501000000;818995000000;11489541900;2017-11-20 18:59:59.999000+00:00;8152436342188220,000000000000000;
BTCUSDT;1h;2017-11-20 19:00:00+00:00;818500000000;825599000000;817730000000;823777000000;16419054300;2017-11-20 19:59:59.999000+00:00;8165564597236190,000000000000000;
BTCUSDT;1h;2017-11-20 20:00:00+00:00;823777000000;826005000000;820100000000;823848000000;14620071500;2017-11-20 20:59:59.999000+00:00;8176782351507540,000000000000000;
BTCUSDT;1h;2017-11-20 21:00:00+00:00;823848000000;828788000000;823848000000;826393000000;16630970200;2017-11-20 21:59:59.999000+00:00;81901896820448400,000000000000000;
BTCUSDT;1h;2017-11-20 22:00:00+00:00;826402000000;829994000000;826257000000;827904000000;11889252200;2017-11-20 22:59:59.999000+00:00;8203858961730250,000000000000000;
BTCUSDT;1h;2017-11-20 23:00:00+00:00;827901000000;831999000000;821100000000;821200000000;12458222800;2017-11-20 23:59:59.999000+00:00;8205111429156360,000000000000000;
BTCUSDT;1h;2017-11-21 00:00:00+00:00;821249000000;825671000000;820890000000;823504000000;18670044200;2017-11-21 00:59:59.999000+00:00;8209715824670770,000000000000000;
BTCUSDT;1h;2017-11-21 01:00:00+00:00;823601000000;829000000000;823504000000;826389000000;16156967200;2017-11-21 01:59:59.999000+00:00;8218050313182960,000000000000000;
BTCUSDT;1h;2017-11-21 02:00:00+00:00;826999000000;826999000000;805000000000;809514000000;22264110800;2017-11-21 02:59:59.999000+00:00;8199141034231730,000000000000000;
BTCUSDT;1h;2017-11-21 03:00:00+00:00;809515000000;812000000000;780100000000;789441000000;40379065500;2017-11-21 03:59:59.999000+00:00;8152259336657620,000000000000000;
BTCUSDT;1h;2017-11-21 04:00:00+00:00;789441000000;801498000000;782100000000;787999000000;36506370400;2017-11-21 04:59:59.999000+00:00;8110371746402600,000000000000000;
